id,group,selection,description,driving,fixture,expected_insert,status_insert,expected_replace,status_replace,limits,notes
T2a,table,"[T1.cells,T1.cells]","cellules partielles, sans fusion",auto,XXX,copie réduite du tableau insérée après le tableau,pass,in-place modifyOriginalTableCells; cellules non sél. et vides intactes,pass,,"Insert + Replace VALIDÉS LIVE 2026-06-26 (build .3) : Insert → copie réduite (top-row [[AA,BB]]) après le tableau, original intact ; Replace in-place OK. (no-op antérieur = bug insSimpleInline corrigé)"
T2b,table,"[T1.cells,T1.cells]","cellules partielles, fusion H traversée",auto,XXX,clone complet (jamais RemoveColumn),pass,"in-place — identique à T2a (round-trip (r,c), S2)",pass,,"Insert + Replace VALIDÉS LIVE 2026-06-26 (build .4) : §4bis#2 implémenté (tableHasMerge → clone COMPLET, skip RemoveColumn) → plus de corruption Q4 ; Replace in-place (gridSpan préservé) ; aperçu GFM désaligné cosmétique"
T2c,table,"[T1.cells,T1.cells]","cellules partielles, fusion V traversée",auto,XXX,clone complet (jamais RemoveRow),pass,"in-place — identique à T2a (maître édité, continuation vide jamais touchée, S3/S4)",pass,,"Insert + Replace VALIDÉS LIVE 2026-06-26 (build .4) : §4bis#2 implémenté → Insert V-region = clone COMPLET cpr=[3,3,3,2], continuation (2,0) vide, ZÉRO corruption (t2c-insert-fullclone.png) ; Replace in-place OK ; S3 mismatch UX (sélection continuation seule) ; trou détection full S5 — non bloquants"
T3,table,"[T1.full,T1.full]",tableau entier englobant,auto,XXX,clone complet inséré après le tableau,pass,clone + InsertContent; post-sélection OK,pass,,"Insert + Replace VALIDÉS LIVE 2026-06-26 : Insert (build .3) → copie complète (w|x/y|z) après le tableau, original intact ; Replace (build .5) → [[p,q],[r,s]] in-place (a nécessité le fix isSimpleInline côté replace : avant, inline ne vidait que la 1ère cellule). Goldens corpus/T3/{insert,replace}."
T4,table,"[P1@mid,T1.C(0,1)]",¶ -> finit dans un tableau,auto,table-plain,après le tableau: ¶/tableaux entiers du début + copie réduite du tableau de fin (cas 2b),pass,cellules in-place + InsertContent par ¶ (ordre inverse),pass,,"Replace ¶->tableau (cas 2b) : document correct + post-sélection RÉPARÉE (L#2 fix build 2026-07-02.2). Sélection enjambe le contenu injecté seul (GetText Head edit+AA/BB, préfixe Intro p exclu ; start block:0 -> end block:-1 cellule). Fix : bracket XSEL_A/B autour du texte injecté + GetCell frais + ExpandTo. Goldens corpus/T4/{insert,replace}."
T5,table,"[T1.C(1,0),P2@mid]",tableau -> finit après,auto,table-plain,après la fin de sélection: copie réduite tête + ¶/tableaux suivants (cas 2c),pass,cellules in-place + InsertContent par ¶,pass,,"Replace tableau->¶ (cas 2c) : document correct + post-sélection RÉPARÉE (L#2 fix). Sélection = contenu injecté seul (GG/DD+Tail edit, suffixe aragraph exclu ; start block:-1 cellule -> end block:2). Goldens corpus/T5/{insert,replace}."
T6,table,"[T1.C(1,0),T2.C(0,1)]","deux tableaux partiels, milieu entier",auto,table-pair,copie réduite tête + milieu entier + copie réduite queue (cas 2d),pass,in-place les deux tableaux + InsertContent par ¶ du milieu,pass,,"Replace cross-table (cas 2d) : document correct + post-sélection RÉPARÉE (L#2 fix). Sélection enjambe tableA->¶->tableB (raw 28..66, contenu injecté exact). NB oracle: 2 extrémités en cellules -> model.json collapsed:true (comme T1/T2a/T3 pass) ; preuve span dans capture.json. Goldens corpus/T6/{insert,replace}."
T8,table,[T1.intra multi-¶],cellule multi-¶ (dont vides),auto,multi-para,split sur double-newline; injecté in-cellule,pass,idem,pass,,"Insert + Replace VALIDÉS LIVE 2026-06-26 (build .5) sur cellule (1,1) multi-¶ (Delta/Delta2), contenu multi-¶ : ZÉRO débordement (blockCount=3) -> L#3 'block déborde hors cellule' INFIRMÉ ; 2e ¶ non sélectionné (Delta2) préservé. Résidu ¶ vide = L#7 (cosmétique, commun top-level). Goldens corpus/T8/{insert,replace}."
T9,table,[T1.intra avec image],cellule avec image,auto,image,copie après tableau ; original (avec image) non touché → image préservée,pass,clone tableau : image de cellule via marqueur+PasteHtml → préservée au save,pass,,"FIXÉ 2026-06-27 (commit 8ee036220, build .9). Replace tableau entier (T1.full, chemin clone) : l'image en cellule survit DÉSORMAIS au save (after.docx 1 media + a:blip ; cellules BetaX/GammaX/DeltaX). Ancien xfail L#8 : reconstructTable/ToJSON + AddDrawing(Copy) perdait le média (0 blip). Fix : images de cellule via marqueur texte + PasteHtml post-InsertContent (upload média serveur) + injectPendingImages scanne les cellules. Insert reste pass (original gardé + clone PasteHtml = 2 media). NB pure-image cell extraction réparée aussi (commit d520064ea). Goldens corpus/T9/{insert,replace(re-capturé pass)}."
T10,guard,(garde défensive),no_range / no_cell_match — pas un cas utilisateur,na,,bandeau câblé (message trompeur),na,idem,na,,"ne devrait pas se déclencher; à tester au niveau garde/unitaire, pas en golden"
T11,table,(mismatch nb cellules),réponse ≠ nb cellules de la sélection,auto,XXX,bandeau d'avertissement,pass,idem,pass,,"VALIDÉ par test unitaire (tableCellMarkers.spec.js, cas « signale un mismatch — T11 ») : validateTableCounts → valid=false, warning 'Table 0: expected 2 cells, got 1', details=[{tableIndex:0,expected:2,actual:1}]. Bandeau câblé UI-Drive : transformCellMarkersForPreview → setCellWarning → ScribeResultPanel (div ambre #fff3cd/#5c3a00). Déclenché UNIQUEMENT sur déficit (actual<expected) — surplus accepté (≥ valide) et PAS sur garde T10 (doute « message trompeur » levé). PAS de golden live OO : bandeau invisible en /example/ (pas d'hôte Drive). Spec exécutée en standalone node 2026-06-26 (20/20) car toolchain jest cassé ici (node_modules symlinké = branche voisine v1.104, swc incompatible)."
T13,table,[T.intra tableau imbriqué],tableaux imbriqués,na,XXX,non supporté,unsupported,non supporté,unsupported,,hors scope
C1,content,"[P2@start,P2@end] (image inline)",image dans un paragraphe (top-level),auto,img-para,copie insérée ; image(s) préservée(s) au save,pass,remplace ; image préservée au save,pass,,"NOUVEAU 2026-06-27 (commit ecb2df5b0, build .9, fixture img-para). Image en ¶ top-level survit au Replace ET Insert + SAVE. Replace : P2 'Photo '+img → 'Caption '+img, after.docx 2 media/2 blips. Insert : 'Extra '+img fusionné inline dans P2, 3 media/3 blips. Mécanisme : marqueur texte + PasteHtml post-InsertContent (upload média) ; AddDrawing laissait une data-URL orpheline droppée au save. Diagnostic 'perdu dès le live' = FAUX (rendu OK live ; bug uniquement au save). dumpState ne voit pas les images → model.json = structure texte. Goldens corpus/C1/{insert,replace}."
T7,table,"[T1.full,P2@end]",tableau entier + ¶ suivant (insert au bon point),auto,table-plain,"réponse insérée APRÈS la fin de sélection (après le ¶ suivant), PAS entre le tableau et le ¶",pass,(non couvert ici),na,,"NOUVEAU 2026-06-27 (fix build .10). Sélection {tableau ENTIER + ¶ suivant}, Insert. Spec ligne 59 : Insérer = fin de la sélection → attendu {T1, Outro, F}. BUG reproduit sur .9 (F inséré entre le tableau et Outro = {T,F,P}) car le curseur était placé après le dernier tableau de la réponse sans tenir compte que la sélection dépasse le tableau. Fix : curseur = fin de sélection (bump après tableau seulement si la sélection s'y termine → T3/T2a préservés). Validé live+forcesave : ordre {Intro,T1,Outro,clone,ZZZtail}. Golden corpus/T7/insert. NB T5 a le même défaut latent → re-capture à prévoir."
